項次,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,1級互動粉絲(最後互動)210215211023,2307_import_member_game,11月一級會員,炸物,IP,Fluidic,202105轉盤,06181130 - 限搶,2023年2月新會員,231021-幸運星發送第二次,優惠專區,優惠：綁定_用專櫃前7加碼,202406舊換新會員,identify_Taiwanese deleted_at 2024-08-21 09:53:34,企業,2302百萬水水募集計劃,2023M12_CSQ_消費金額_1001~1500元,2022狂龍軍,cybz_門市助理_市集活動,20210503_點數雙倍送_如何集點,優惠券_圖文選單,9/7 洗髮相關,,客服_和社山林,190101至220468約翰森林,,[2023咒術迴戰_高雄場]_出口問卷,[Interest] Automotive_FFC/FPC,0331 L2-2,1211 L2-1,【活動】推薦好友
,1級互動粉絲(最後互動)210215-211023,2308_import_member,11月新好友,熱品,IP_迪士尼,g.3 deleted_at 2024-06-25 10:05:03,2021母親節登記,0621-朗朗夏日,2023年3月新會員,231021-幸運星點擊,全球最佳旅遊時間,優惠：綁定_用專櫃$50優惠券,2024MoCA展覽加LINE好友,identity_FrenchCitizen,促購,2303檔綁定活動,2023M12_CSQ_消費金額_1501~2000元,2022老龍迷,cybz_門市新客綁定,20210503_點數雙倍送_精選口味,優惠券_導流連結,9/7 進90天有互動,,客服_夕陽漫漫,190101至220469約翰森林,,[2023哆啦A夢展]_出口問卷,[Interest] Automotive_FloatBTB,0402 L1-1,1218 L1-2,【品牌】薇佳
,1級互動粉絲(最後互動)210215-211029,2for30%,1202_2000,熱銷排行,isharing,menu_標籤測試,2022大甲特賣會,0621朗朗夏日主頁,2023年4月新會員,231127-231130優惠券歸戶,全站活動-別處過暑假,優惠：綁定_板橋開幕滿千折百,2024VVIP名單,identity_Taiwanese,促購優惠訊息,2304好康團購折價金,2023M12_CSQ_消費金額_2000元以上,2022花蓮,cybz_門市隸屬群組：電商,20210503_點數雙倍送_經典濃郁,優惠券_歡迎訊息,99V1,,客服_山中靜靜,190101至220470約翰森林,,[2023康康演唱會],[Interest] Automotive_HFM,0402 L2-1,1218 L2-2,購物車再行銷
,1級互動粉絲(最後互動)210215-211031,2 for 30% off,1202_ 2000,牛排,JT/3J4,NBA折扣領取,2022特賣會報名,0622舊好友領券,2023年5月新會員,231220-231227 領取折扣碼,冬季景點,優惠：綁定_板橋巨城期間加碼,2024膳魔師週DM加好友,identity_Unknown,促銷,2304綁定活動,2023M12_CSQ_消費金額_500元以內,2022苗栗,cybz_高雄大立:pos_shop_id_957,20210503_點數雙倍送_義式濃烈,內容圖文,A COFFEE巴西咖啡,,客服_蟬說雅築,190101至220471約翰森林,,2023康康演唱會 _,[Interest] Autonomous,0407 L1-3,1225 L1-3,【活動】小測驗
,1級互動粉絲(最後互動)210215-211103,488/88happyday,1204_1200,牛肉,kleenex,RFM_VIP_Champions,20230705 第一則推播受眾 deleted_at 2024-07-10 02:38:30,0623-朗朗夏日推播,2023年6月新會員,240212-0229免運券,冰島,優惠：綁定_勤美快閃800折100,2024_貝高福問卷導入LINE,interest_Business,保健防護,2305好康團購折價金,2023M12_CSQ_消費金額_501~1000元,2022雲林,cybz_高雄左營新光:pos_shop_id_922,20210503_點數雙倍送_醇香奶茶,全職媽媽,aevéop,,客服_霧繞,190101至220472約翰森林,,2023康康演唱會 _ 自動回應,[Interest] CMC,0407 L2-3,1225 L2-3,ELLE SKINCARE煥白淡斑精萃
,1級互動粉絲(最後互動)210301-211103,51勞動節,1204_1200-1-1,甜點類,LG,RFM_VIP_Loyal Customers,20230824勘誤受眾,0628 - line好友會員日,2023年7月新會員,240223-元宵燈謎遊戲1,分享按鈕,優惠：綁定_京站快閃滿千折百,220503~0510分享好友得100元JOJ券,interest_Conferences,保養,2305綁定活動,2023M12_CSQ_體驗不滿意,2022非台灣地區,CY_會員日,20210503_點數雙倍送_閑庭美式,其他,aevéop台灣檜木精油,,客服_鳳凰亭序,190101至220473約翰森林,,[2023摩登紳士],[Interest] CMX,0409 L1-2,2021_0726 EDM,我的優惠券
,1級互動粉絲(最後互動)210301-211104,7/8-post是否綁定LINE好友,1204_1200-1-2,甜點類 deleted_at 2024-07-22 09:49:29,line132,Samurai Sales 創新防霧眼鏡布,20230904受眾（職場穿搭）,0628 - line好友會員日( 來源：fb機器人 ),2023年8月新會員,240223-元宵燈謎遊戲2,刺激體驗,優惠：綁定_中港加碼800折100,220503~0510分享好友得LINE POINTS,interest_Culture,健康,2306好康團購折價金,2023M12_CSQ_體驗滿意,2022高雄,CY_長期購,20210509_母親節_text1,其他困擾,aevéop多苞葉尤加利精油,,寵物,190101至220474約翰森林,,[2023摩登紳士]_觀後問卷,[Interest] Datacom,0409 L2-2,2021_0726 EDM OK,【膚況】毛孔粗糙
,1級互動粉絲(最後互動)210301-211106,add_friend,1204_1200-1-3,甜點/麵包,line888,talon旋轉椅子開賣通知（訂閱贈100折價卷）,2024大甲特賣會,0702 - 美國 Averie Sleep 好柔軟親膚睡衣2,2023年9月新會員,240223-元宵燈謎遊戲3,加拿大,優惠：生日_領專櫃$100優惠券,220503~0510抽中EC200折扣碼,interest_Education,健康書,2306綁定活動,2023M12天天免費打_印刷品,2022龍族會員,DE_OF_台中中友,20210509_母親節_如何集點,其他工作類型,aevéop故事寫手,,小幫手測試！,190101至220475約翰森林,,[2023最後那五年],[Interest] Dropdown Heatsink,0414 L1-1,2021_0726 L3-5,薇佳微晶3D全能精華
,1級互動粉絲(最後互動)210301-211119,B1G1,1204_1200-2-1,甜點 麵包 冰品,OKAPI,test使用 deleted_at 2024-06-25 10:06:02,20大品牌電商加入,0714-官網首頁,2024年1月新會員,240412 購物金優惠領取,包車,優惠：生日_領官網免運碼,220503~0510抽中JOJ150ML,interest_Gastronomy,健康講座_睡眠,2307DM,2023M12會員日_印刷品,2022龍粉知己,DE_OF_台中新光,20210509_母親節_精選口味,其他海外地區,aevéop檸檬香桃木精油,,山中靜靜,190101至220476約翰森林,,[2023最後那五年]_觀後問卷,[Interest] Electrification,0414 L2-1,2021_0824 20:00 L1-2,【活動】折扣碼
,1級互動粉絲(最後互動)210301-211120,beautyday,1209_2000,甜點 麵包 冰品 deleted_at 2024-07-17 08:49:29,OPENPOINT,x96m06,20大電商折價券,0715-情人間的美好時刻,2024年2月新會員,50折扣券,匈牙利,優惠：生日_領回櫃禮兌換券,220503~0510抽中JOJ180ML,interest_Lifestyle,健康講座_肌力 deleted_at 2024-08-24 12:47:19,2307好康團購折價金,2023M12會員滿意度問卷_文宣,2023YT問卷填答,DE_OF_台北微風,20210511_家樂福優惠_text1,其他腿部困擾,aevéop白絲柏精油,,已入住,190101至220477約翰森林,,2023月主題_展覽_優惠折扣,[Interest] Miniaturization,0416 L1-3,2021_0824 20:00 L2-2,【活動】LINE POINTS
,1級互動粉絲(最後互動)210501-211106,CNY刮刮卡,121013_2000,瘦身,OPEN POINT Day,xj4u/6,399專區,0802-0815 官網首頁下方新好友領 100,2024年3月新會員,666免運券,北海道,優惠：生日_已發送優惠,220503~0510抽中LINE102U03,interest_Science,健康議題,2307綁定活動,2023M9增粉_EDM,2023新龍迷,DE_OF_台北新光A4,20210511_經典濃郁_text1,口味_柳橙,aevéop純素植物乳液,,已入住-和社山林,190101至220478約翰森林,,[2023樋口裕子展]_出口問卷,[Interest] OCP,0416 L2-3,2021_0831 20:00 L1-3,【官網】
,1級互動粉絲(最後互動)210501-220422,contact_lens,1211_1200,社群特惠,target_import_count-0511,xu/3fm3,499,0824正式場EDM(VIP),2024年4月新會員,888免運券,台日韓,優惠：生日_已發送_專櫃優惠券,220503~0510抽中LINE10點,interest_Sports,健身,2309$1000寶雅禮券抽獎券,2023M9增粉_印刷品_中壢,2023狂龍軍,DE_OF_台南新光,20210511_經典濃郁_即刻享受,口味_莓果,aevéop純素植物保養油,,已入住-夕陽漫漫,190101至220479約翰森林,,[2023樋口裕子特展],[Interest] Thermal Solution,0421 L1-2,2021_0831 20:00 L2-3,薇佳微晶3D全能乳霜
,1級互動粉絲(最後互動)210503-220501,contactlense,1212_1200,節慶專區,Team測試,亞運抽獎活動加入,499專區,0824正式場EDM導流(全會員),2024年5月新會員,A4包,台灣,優惠：生日_已發送_官網免運碼,220503~0510抽中不沾鍋200元折價券,interest_Sustainability,優惠資訊,23091000點數券,2023M9增粉_印刷品_中正,2024公共關係/台北市/敬師月,DE_OF_屏東太平洋,20210511_經典濃郁_如何集點,台灣,aevéop 純素植物化妝水噴霧,,已入住-山中靜靜,190101至220480約翰森林,,[2023樋口裕子特展]_圖文選單,[Interest] Zonal,0421 L2-2,2021_0907 20:00 L1-1,【品牌】aevéop
,1級互動粉絲(最後互動)210601-211103,crm,1212_2000,聖凱師,test,來源-EDM,599專區,0824正式場區間貼文_fb新客,2024年6月新會員,Barbie濾鏡點擊,台灣南投,優惠：生日_已發送_回櫃禮兌換券,220601~0620抽中30元折扣碼,keenness_High deleted_at 2024-08-26 09:40:44,儲備2023影響力 deleted_at 2024-08-20 02:55:59,2309$50門市折價金,2023M9增粉_印刷品_中華,2024公共關係/地方振興/大巨蛋學生,DE_OF_桃園新光,20210512_派克市場_pic,#台灣,aevéop純素植物化妝水噴霧,,已入住-霧繞,190101至220481約翰森林,,[2023永恆聖母院],[Interest] 應徵,0423 L1-1,2021_0907 20:00 L2-1,【活動】618
,1級互動粉絲(最後互動)210601-211204,CRM_09_Birthday,1213_2000,聯名商品,test03828,來源-Facebook,5折up,0824正式場貼文_FB客,2024年7月新會員,DPM｜活動連結點擊,台灣台中,優惠：特約_IBM,220601~0620抽中60元折扣碼,keenness_Low deleted_at 2024-08-26 09:40:48,兌換城鄉論壇午餐券,2309$77免運券,2023M9增粉_印刷品_仁德,2024公共關係/地方振興/天母學生之夜,DE_OF_高雄大立,20210512_派克市場_text1,問卷_快閃櫃新光A8,aevéop純素植物洗顏露,,已入住-鳳凰亭序,190101至220482約翰森林,,[2023漢斯季默],[Source] 2024 April Roadshow_Lite On,0423 L2-1,2021_0914 20:00 L1-2,【膚況】美白需求
,1級互動粉絲(最後互動)210601-211225,CRM_2024_benifit,1213暫標,肉品,TEST0425,來源-Instagram,617簽到,0824限搶_NINESTARS垃圾桶,20周年慶,Gift-品牌愛心鏡,台灣台北,優惠：新好友_領專櫃$50優惠券,220601~0620抽中90元折扣碼,language_Chinese,兒童小說,2309Dyson多功能造型器抽獎券,2023M9增粉_印刷品_卡丁車,2024公共關係/天母商圈,DE_OF_高雄左營,20210512_派克市場_text2,妳的・桑拿沐足袋,aevéop 純素植物精華液,,已領取－fb漫漫廣告,190101至220483約翰森林,,2023漢斯季默_觀後問券,[Source] 2024 April Roadshow_Wistron,0428 L1-3,2021_0914 20:00 L2-2,ay select高效防護潔淨液
,1級互動粉絲(最後互動)210601-211230,CRM_binding,1215_2000,臉書,test04261,來源-YouTube,618,0824限搶_體香膏,2mm,Gift-品牌撲克牌,台灣台南,來源：門市廣宣_LINE好友立牌_A11,220601~0620抽中LINE102U03,language_English,全球化,2309小遊戲,2023M9增粉_印刷品_嘉義,2024公共關係/天母商圈/啤酒節,DE_ON_FB,20210512_派克市場_text3,嫩足霜,aevéop純素植物精華液,,已領取－平日戶外咖,190101至220484約翰森林,,[2023漢斯季默]_觀後問卷,[Source] 2024 Automotive Roadshow_Delta,0428 L2-3,2021_0921 20:00 L1-3,【活動】抽獎
,1級互動粉絲(最後互動)210601-220204,CRM_birthday,1217_2000,自動腳本互動,test04262,來源-問卷,618購物節,0825限搶_Cutipol,2月新會員,Gift-夢特行李牌,台灣台東,來源：線下_立牌_加LINE好友綁定_高雄巨蛋,220601~0620抽中LINE10點,language_French,全閱讀,2309抽iPhone15,2023M9增粉_印刷品_土城,2024公共關係/校園巡迴,DE_ON_IG,20210512_派克市場_text4,孅女排水霜EX,aevéop純素植物護手霜,,已領取_會員綁定_霧繞,190101至220485約翰森林,,[2023烏克蘭芭蕾]_觀後問卷,[Source] 2024 Automotive Roadshow_Foxtron,0430 L1-2,2021_0921 20:00 L2-3,【LINE Pay】
,1級互動粉絲(最後互動)210601-220207,CRM_brandday,1218_1030,蔬果,test0510_1,來源-官網menu,$699,0825限搶_dyson,3C,Gift-情人節,台灣嘉義,來源：線下_立牌_加LINE好友綁定_板橋遠百,220601-0620拉霸分享導流,source_Penelope,兩千大,2309綁定活動,2023M9增粉_印刷品_巨城,2024 學生之夜 領票,DE_ON_WEB,20210512_派克市場_text5,學生,aevéop純素植物護髮精華油,,微醺50元兌換成功,190101至220486約翰森林,,[2023粽邪展],[Source] 2024 Automotive Roadshow_Inventec,0430 L2-2,2022_0828_L1-1,【活動】折扣
,1級互動粉絲(最後互動)210603-220602,CRM_brandmonth,1223_2000,試吃(點連結),test0511,來源-官網menu-app,85折,0826限搶_Bloomingville,3M,GirlStyle,台灣基隆,來源：線下_立牌_加LINE好友綁定_新竹巨城,2207玩具總動員FB加好友,source_Penelope0912Workshop,兩千大論壇,2310綁定成功,2023M9增粉_印刷品_新時代保,2024小龍女徵選會,LALA,20210515_閑庭美式_text1,官網_加好友,aevéop綠花白千層精油,,微醺META廣告,190101至220487約翰森林,,[2023粽邪展]_出口問卷,[Source] 2024 Automotive Roadshow_Quanta,0505 L1-1,2022_0828_L2-1,aevéop純素植物化妝水噴霧
,1級互動粉絲(最後互動210701-220602,CRM_Coupon,1224_2000,調理品,test-0511,來源-官網menu-pc,88折,0826限搶_LG電子衣櫥,618,Hububble名單｜230901-幸運星🌟滿999送專屬小禮,台灣大自然,來源：線下_立牌_加LINE好友綁定_新光南西,2207膳魔師週DM加好友,source_PenelopeOtherLineOA,兩性,2311綁定成功,2023M9增粉_印刷品_新時代棒,2024春節,NMN3750,20210515_閑庭美式_即刻享受,官網導流工具,aevéop薄荷精油,,微醺小夕陽,190101至220488約翰森林,,[2023美少女戰士],[Source] 2024 Automotive Roadshows,0505 L2-1,2022_0904_L1-2,【活動】會員點數
,1級互動粉絲(最後互動)210909 220908,CRM_eCard,1225_1030,豬肉,test2,來源-官網客服引導,8月快閃,0827限搶_Memory Lane,77 chocolate,Hububble名單｜230902-幸運星🌟滿999送專屬小禮,台灣宜蘭,來源：線下_立牌_加LINE好友綁定_新光中港,230106推播_皇冠週DM_導線上賣場,status_Retired,公民素養,2311綁定活動,2023M9增粉_印刷品_新莊,2024龍星大樂投票,NMN三酵益生菌果凍,20210515_閑庭美式_如何集點,巨城領取黑足兌換碼,allyoung select,,微醺現場客,190101至220489約翰森林,,[2023西班牙國家舞團卡門],[Source] 2024 Automotive Roadshow_Wistron,0507 L1-3,2022_0904_L2-2,【品牌】A-CAFE
,1級互動粉絲(最後互動)210909-220908,CRM_FirstLog-in,1225_2000,購物車,test3,來源-官網結帳,8月直播加入,0827限搶_澳洲 Rosie Allan太陽眼鏡,90天_未開封_0513,Hububble名單｜230923-沈睡顧客,台灣小琉球,來源：線下_立牌_加LINE好友綁定_新光A11,230320_圖文選單_官網限定_單支777,status_StayAtHomeParent,出席ETF新書分享會,2312小遊戲,2023M9增粉_印刷品_楠梓,2024龍星投票新客,NMN酵素之王30000,20210518_醇香奶茶_text1,已綁定,aquater,,新聞稿,190101至220490約翰森林,,[2023西班牙國家舞團卡門]_觀後問卷,[Source] 2024 May Mouser Seminar,0507 L2-3,2022_0911_L1-3,薇佳養髮全效洗髮精
,1級互動粉絲(最後互動)220101-220512,CRM_GWP,1229_2000,防疫,test4,來源-官網首頁,95k6,0929提醒_,90天_未開封_標籤行銷、天天、東森幣,Hububble名單｜230923-流失顧客,台灣屏東,來源：線下_立牌_加LINE好友綁定_台中飪室勤美店,231106圖文選單_最新話題_抱抱龍限定_官網買,status_Student,出遊,2312玩轉派對-分享好友再玩乙次,2023M9增粉_印刷品_汐止,23-25歲,PE_18,20210518_醇香奶茶_即刻享受,快閃櫃-新光A8,aquater一號調理冰河水面膜,,會員綁定－已領取和社山林折扣,190101至220491約翰森林,,[2023迪士尼展],[Source] 2024 September Roadshow - Foxconn,0512 L1-2,2022_0911_L2-3,薇佳極潤1號護脣膏
,1級互動粉絲(最後互動)220202220803,CRM_Health,1229_2000熱銷,降價通知,test5,優惠_11th透過line購買,99氣墊鞋,0929提醒N,90天加入_1109,Hububble名單｜230923-流失顧客/有購物金,台灣彰化,來源：線下_立牌_加LINE好友綁定_台中飪室創始店,231106圖文選單_最新話題_抱抱龍限定_專櫃買,status_Unknown,升學考試,2312玩轉派對小遊戲,2023M9增粉_印刷品_花蓮,26-30歲,PE_18-24,20210521_義式濃烈_text1,快閃櫃-新竹巨城,aquater三號幻光冰河水面膜,,會員綁定－已領取漫漫折扣,190101至220492約翰森林,,2023鐵達尼號_前測問卷,[source] automotive,0512 L2-2,2022_0918_L1-1,母嬰類
,1級互動粉絲(最後互動)220202-220803,CRM_luckydraw,1229_2000非熱銷,雞肉,test6,優惠-11th週年慶_不分商品導流連結,99男女款拖鞋,0929提醒_nellies's,90天加入_未開封,Hububble名單｜231021-幸運星🌟滿999送專屬小禮,台灣折扣,來源：線下_立牌_加LINE好友綁定_台中無理,231212推播_百貨雙12一日限定,status_WorkingProfessional,半導體,2312玩轉派對扭蛋,2023M9增粉_印刷品_草衙,2位小孩,PE_25-34,20210521_義式濃烈_即刻享受,快閃櫃-誠品南西,aquater二號浸透冰河水面膜,,會員綁定－已領取霧繞折扣,190101至220493約翰森林,,[2023鐵達尼號電影音樂會],[Source] Distributors,0519 L1-3,2022_0918_L2-1,【活動】LINE POINT CPA
,1級互動粉絲(最後互動)220301-220702,CRM_Month,123,零嘴,test7,優惠-11th週年慶_預告推播觸發,99豆豆鞋,0929提醒R,90天加入_未開封_0517,Hububble名單｜231112-潛在回購新客,台灣新北,來源：線下_立牌_加LINE好友綁定_台中TOASTERiA CAFE,240210推播_點擊圖片_Outlet據點,來源_官網,參加2023兩千大預測,2312玩轉派對扭蛋(寶家),2023M9增粉_官網_手機,2月,PE_35-44,20210526_官網獨享_pic,快閃活動,aquater冰河水爽膚凝霧,,會員綁定－已領取靜靜折扣,190101至220494約翰森林,,[2023鐵達尼號電影音樂會]_觀後問卷,[Source] HR,0519 L2-3,2022_0925_L1-2,抗痘類
,1級互動粉絲(最後互動)220309-230307,CRM_TMP coupon,1231_1200,領取購物金,test8,優惠-APP,99購物,0929提醒_risingboutique,90天未消費_有開封_0521,Hububble名單｜231116 OZONE可能購買名單,台灣新竹,來源：線下_立牌_加LINE好友綁定_勤美誠品店,240306推播_百貨出清_專櫃詳情,優惠券_圖文選單 deleted_at 2024-07-24 08:21:05,參加實體國際書展,2312玩轉派對-測試 deleted_at 2024-07-10 06:15:42,2023M9增粉_官網_桌機,2月壽星,PE_45,20210526_官網獨享_text,恬靜好眠足浴鹽,aquater冰河水透潤凝霧,,會員綁定－已領取鳳凰亭序折扣,190101至220495約翰森林,,[2023韓國音樂劇],[Source] TDC&GSM Communication Meeting,0526 L1-1,2022_0925_L2-2,【活動】免運
,1級互動粉絲(最後互動)220312-230311,CRM_抽萬元保養組,1231_1200-1-2,食譜,test_d20220421,優惠-抽獎,au03mp4,0930提醒A,99購物節,Hububble名單｜2312聖誕折扣碼,台灣桃園,來源：線下_立牌_加LINE好友綁定_京站快閃,240711推播_百貨一番賞倒數,優惠券_導流連結 deleted_at 2024-07-24 08:21:02,可能為家長,2312被分享,2023M9學生暢打_印刷品,31-35歲,PR_兒童孕補,20210526_官網獨享_兒童牛奶可可,手膜,aquater極透光感凍膜,,會員綁訂,190101至220496約翰森林,,202401月主題,win,0526 L2-1,2022_1002_L1-3,薇佳微晶3D全能抗皺精華
